,listing_id,year,comments,id,lat_lon,price,latitude,longitude
9,44616,2020,12,44616,"['19.41006,-99.17645' '19.41162,-99.17794']",12000.0,19.41006,-99.17645
28,58955,2020,1,58955,"19.42292,-99.15775",1479.0,19.42292,-99.15775
50,70644,2020,6,70644,"['19.35448,-99.16217' '19.35601,-99.16167']",1267.0,19.35448,-99.16217
65,165772,2020,6,165772,"19.40826,-99.18659",3786.5,19.40826,-99.18659
73,171109,2020,10,171109,"['19.39549,-99.17616' '19.39675,-99.17581']",274.5,19.39549,-99.17616
114,198778,2020,8,198778,"19.41395,-99.17948",833.0,19.41395,-99.17948
124,204887,2020,2,204887,"['19.40409,-99.17731' '19.4059,-99.17548']",1000.0,19.40409,-99.17731
128,217685,2020,8,217685,"['19.40454,-99.1715' '19.40491,-99.17177']",669.0,19.40454,-99.1715
139,245507,2020,24,245507,"['19.4236,-99.16979' '19.4251,-99.17067']",1013.0,19.4236,-99.16979
150,247543,2020,2,247543,"19.43516,-99.13806",622.0,19.43516,-99.13806
168,256555,2020,30,256555,"['19.40631,-99.18691' '19.40663,-99.18653']",3582.5,19.40631,-99.18691
178,261897,2020,8,261897,"19.41835,-99.17363",931.0,19.41835,-99.17363
198,287940,2020,30,287940,"19.41241,-99.1753",566.0,19.41241,-99.1753
220,323030,2020,2,323030,"19.41368,-99.17907",826.0,19.41368,-99.17907
236,325812,2020,6,325812,"19.43319,-99.14665",557.0,19.43319,-99.14665
244,326296,2020,20,326296,"19.34034,-99.18345",308.5,19.34034,-99.18345
251,326475,2020,16,326475,"19.41444,-99.15734",598.5,19.41444,-99.15734
264,331788,2020,22,331788,"19.41975,-99.17341",1587.5,19.41975,-99.17341
270,362583,2020,2,362583,"['19.42947,-99.17083' '19.43165,-99.17132']",1491.0,19.42947,-99.17083
280,370092,2020,64,370092,"19.40213,-99.16924",501.5,19.40213,-99.16924
295,375032,2020,2,375032,"19.4075,-99.17561",1350.0,19.4075,-99.17561
300,386265,2020,1,386265,"19.34303,-99.15425",292.0,19.34303,-99.15425
323,454693,2020,14,454693,"['19.40618,-99.17342' '19.40836,-99.1733']",1559.5,19.40618,-99.17342
341,458808,2020,26,458808,"19.42675,-99.1613",579.5,19.42675,-99.1613
348,486913,2020,14,486913,"19.43898,-99.16142",665.0,19.43898,-99.16142
368,517503,2020,88,517503,"19.43784,-99.07903",358.5,19.43784,-99.07903
378,527473,2020,68,527473,"19.41887,-99.17333",3044.0,19.41887,-99.17333
388,555663,2020,6,555663,"19.42924,-99.15699",870.0,19.42924,-99.15699
391,561743,2020,1,561743,"19.40598,-99.1807",800.0,19.40598,-99.1807
397,567176,2020,2,567176,"['19.45553,-99.15988' '19.45595,-99.15944']",210.0,19.45553,-99.15988
411,583039,2020,12,583039,"19.43374,-99.14616",1408.0,19.43374,-99.14616
431,609012,2020,2,609012,"['19.43221,-99.15708' '19.43294,-99.15559']",1543.5,19.43221,-99.15708
440,613181,2020,4,613181,"19.43826,-99.1366",1362.0,19.43826,-99.1366
449,618711,2020,1,618711,"19.44353,-99.18649",225.0,19.44353,-99.18649
457,628081,2020,24,628081,"['19.41789,-99.17209' '19.41936,-99.17281']",1712.5,19.41789,-99.17209
467,635324,2020,7,635324,"19.35323,-99.19343",823.0,19.35323,-99.19343
482,642797,2020,10,642797,"['19.4143,-99.18042' '19.41499,-99.18215']",9300.5,19.4143,-99.18042
493,655422,2020,18,655422,"19.41417,-99.11566",1366.5,19.41417,-99.11566
503,691019,2020,22,691019,"19.43048,-99.14461",1234.5,19.43048,-99.14461
512,696031,2020,2,696031,"19.44226,-99.18406",1155.0,19.44226,-99.18406
528,712611,2020,16,712611,"['19.41031,-99.16434' '19.41046,-99.16409']",932.5,19.41031,-99.16434
537,728372,2020,4,728372,"['19.44222,-99.14461' '19.44371,-99.14442']",2629.5,19.44222,-99.14461
547,729898,2020,48,729898,"['19.41226,-99.16594' '19.41362,-99.16603']",1326.5,19.41226,-99.16594
560,737328,2020,4,737328,"19.43059,-99.17073",1102.0,19.43059,-99.17073
572,757338,2020,1,757338,"19.34424,-99.16949",3266.0,19.34424,-99.16949
602,796477,2020,8,796477,"19.41824,-99.1756",618.5,19.41824,-99.1756
619,822005,2020,4,822005,"19.40243,-99.17828",1367.0,19.40243,-99.17828
640,826760,2020,2,826760,"19.40915,-99.17321",971.0,19.40915,-99.17321
652,832805,2020,2,832805,"19.44262,-99.14566",432.0,19.44262,-99.14566
664,858277,2020,3,858277,"19.41319,-99.1758",1959.0,19.41319,-99.1758
668,864999,2020,3,864999,"19.34392,-99.16939",621.0,19.34392,-99.16939
676,865012,2020,8,865012,"19.43078,-99.17011",1132.0,19.43078,-99.17011
689,865070,2020,3,865070,"19.34562,-99.17087",616.0,19.34562,-99.17087
696,868843,2020,20,868843,"19.43068,-99.17007",919.5,19.43068,-99.17007
703,868986,2020,10,868986,"19.4306,-99.17074",917.5,19.4306,-99.17074
709,869063,2020,8,869063,"19.43052,-99.17003",1126.0,19.43052,-99.17003
713,872238,2020,1,872238,"19.41802,-99.16141",1770.0,19.41802,-99.16141
